name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Peacehaven, England, United Kingdom",2023-07-07,82.2,51.1,67.5,81.4,51.1,67.4,52.9,63.1,0,0,0,,0,0,17.9,11,101,1015.3,10.6,17.6,315.9,27.3,9,,2023-07-07T04:55:27,2023-07-07T21:14:00,0.64,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-08,74.8,63.9,70,74.8,63.9,70,61.5,75,0.134,100,45.83,rain,0,0,15.9,10.7,111.4,1014.9,65.7,13.2,128.7,11.2,5,,2023-07-08T04:56:21,2023-07-08T21:13:23,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-09,68.1,59,63.4,68.1,59,63.4,59.1,86.2,0.008,100,16.67,rain,0,0,13.3,9.1,212.8,1019.5,75,12.3,145.2,12.6,6,,2023-07-09T04:57:17,2023-07-09T21:12:43,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-10,70,52.8,63.7,70,52.8,63.7,57,80,0.003,100,4.17,rain,0,0,18.5,13.1,199.3,1020,51.3,12.4,262.8,22.7,10,,2023-07-10T04:58:15,2023-07-10T21:12:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-11,68.2,62.2,64.8,68.2,62.2,64.8,59.1,82.1,0.001,100,4.17,rain,0,0,24.6,16.2,221.7,1011.5,95.5,14.3,134.2,11.7,8,,2023-07-11T04:59:16,2023-07-11T21:11:16,0.78,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-12,67.8,56.2,62.8,67.8,56.2,62.8,56,79.4,0.006,100,12.5,rain,0,0,29.8,19.2,242.8,1012.4,54.9,13.8,286.2,24.8,10,,2023-07-12T05:00:18,2023-07-12T21:10:28,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-13,67.5,54.3,61.5,67.5,54.3,61.5,55.9,82.3,0.045,100,12.5,rain,0,0,26.2,16.3,238.3,1016.7,59.8,15.4,200.9,17.3,7,,2023-07-13T05:01:21,2023-07-13T21:09:37,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03882099999,03872099999,03768099999,03781099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-14,66.7,56.9,62.3,66.7,56.9,62.3,58.5,87.6,0.264,100,54.17,rain,0,0,31,18.9,178.9,1009.3,95.2,10,70.3,6.2,3,,2023-07-14T05:02:27,2023-07-14T21:08:44,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-15,67,60.8,63.2,67,60.8,63.2,56.7,80.1,0.01,100,20.83,rain,0,0,40.9,24.9,223,1002.8,89.2,9.7,245.3,21.3,9,,2023-07-15T05:03:34,2023-07-15T21:07:48,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-16,67,59.1,62.6,67,59.1,62.6,53.5,72.7,0.031,100,20.83,rain,0,0,35.9,22.7,235.4,1010.8,75.9,11.8,232.5,20.1,8,,2023-07-16T05:04:43,2023-07-16T21:06:49,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-17,68.2,57.1,62.4,68.2,57.1,62.4,54.5,75.9,0.017,100,20.83,rain,0,0,26.6,17.6,239.9,1018.3,49.9,15,306,26.3,9,,2023-07-17T05:05:54,2023-07-17T21:05:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-18,70.2,49.9,61.7,70.2,48.7,61.7,52.7,74.5,0,0,0,,0,0,14.5,9.3,222,1018.6,68.9,16.4,271.8,23.6,9,,2023-07-18T05:07:06,2023-07-18T21:04:45,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-19,70.1,60.3,64.8,70.1,60.3,64.8,56.8,75.8,0,0,0,,0,0,24.1,15.3,255,1015.4,82.4,18.9,204.6,17.7,9,,2023-07-19T05:08:20,2023-07-19T21:03:39,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
